Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
DORSETT RESIDENCES,NEW BRIDGE ROAD,02,Non-Landed Properties,1,"3,800",40 to 50,400 to 500,Jul-24
CLAVON,CLEMENTI AVENUE 1,05,Non-Landed Properties,2,"4,200",60 to 70,600 to 700,Jul-24
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,2,"6,000",100 to 110,"1,100 to 1,200",Jul-24
PARC RIVIERA,WEST COAST VALE,05,Non-Landed Properties,3,"5,800",90 to 100,"1,000 to 1,100",Jul-24
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,2,"5,200",90 to 100,"1,000 to 1,100",Jul-24
MARINA BAY RESIDENCES,MARINA BOULEVARD,01,Non-Landed Properties,1,"5,300",60 to 70,700 to 800,Jul-24
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,1,"4,700",60 to 70,600 to 700,Jul-24
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,1,"4,950",50 to 60,600 to 700,Jul-24
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,1,"3,800",40 to 50,500 to 600,Jul-24
ECHELON,ALEXANDRA VIEW,03,Non-Landed Properties,1,"3,500",40 to 50,400 to 500,Jul-24
HARBOURLIGHTS,TELOK BLANGAH ROAD,04,Non-Landed Properties,2,"4,300",80 to 90,800 to 900,Jul-24
HIGHLINE RESIDENCES,KIM TIAN ROAD,03,Non-Landed Properties,2,"5,100",60 to 70,600 to 700,Jul-24
WESTCOVE CONDOMINIUM,WEST COAST CRESCENT,05,Non-Landed Properties,3,"4,200",110 to 120,"1,200 to 1,300",Jul-24
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,1,"3,900",60 to 70,600 to 700,Jul-24
ONE SHENTON,SHENTON WAY,01,Non-Landed Properties,1,"4,800",70 to 80,800 to 900,Jul-24
INTERNATIONAL PLAZA,ANSON ROAD,02,Non-Landed Properties,NA,"5,300",80 to 90,"900 to 1,000",Jul-24
ONE-NORTH EDEN,SLIM BARRACKS RISE,05,Non-Landed Properties,2,"5,600",70 to 80,700 to 800,Jul-24
BLUE HORIZON,WEST COAST CRESCENT,05,Non-Landed Properties,2,"5,600",80 to 90,"900 to 1,000",Jul-24
CLAVON,CLEMENTI AVENUE 1,05,Non-Landed Properties,1,"3,600",40 to 50,500 to 600,Jul-24
ROYAL PALM MANSIONS,PASIR PANJANG ROAD,05,Non-Landed Properties,3,"6,100",110 to 120,"1,200 to 1,300",Jul-24
THE CLIFT,MCCALLUM STREET,01,Non-Landed Properties,1,"4,400",40 to 50,500 to 600,Jul-24
QUEENS PEAK,DUNDEE ROAD,03,Non-Landed Properties,1,"3,600",40 to 50,400 to 500,Jul-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,2,"4,050",60 to 70,600 to 700,Jul-24
ALEXIS,ALEXANDRA ROAD,03,Non-Landed Properties,1,"3,600",50 to 60,500 to 600,Jul-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,2,"3,800",60 to 70,600 to 700,Jul-24
PARC RIVIERA,WEST COAST VALE,05,Non-Landed Properties,3,"5,200",90 to 100,"900 to 1,000",Jul-24
QUEENS,STIRLING ROAD,03,Non-Landed Properties,2,"4,300",80 to 90,"900 to 1,000",Jul-24
PALM MANSIONS,PASIR PANJANG ROAD,05,Non-Landed Properties,2,"3,800",70 to 80,800 to 900,Jul-24
SEAHILL,WEST COAST CRESCENT,05,Non-Landed Properties,NA,"4,200",40 to 50,500 to 600,Jul-24
PARC CLEMATIS,JALAN LEMPENG,05,Non-Landed Properties,2,"4,000",80 to 90,800 to 900,Jul-24
LE HILL CONDOMINIUM,PASIR PANJANG HILL,05,Non-Landed Properties,2,"4,000",90 to 100,"900 to 1,000",Jul-24
REGENT PARK,JALAN LEMPENG,05,Non-Landed Properties,2,"3,500",70 to 80,800 to 900,Jul-24
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,1,"4,400",60 to 70,600 to 700,Jul-24
HUNDRED TREES,WEST COAST DRIVE,05,Non-Landed Properties,3,"5,100",120 to 130,"1,300 to 1,400",Jul-24
CAPE ROYALE,COVE WAY,04,Non-Landed Properties,3,"9,200",170 to 180,"1,900 to 2,000",Jul-24
THE INTERLACE,DEPOT ROAD,04,Non-Landed Properties,3,"6,500",110 to 120,"1,200 to 1,300",Jul-24
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,2,"4,350",60 to 70,600 to 700,Jul-24
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,1,"4,800",70 to 80,700 to 800,Jul-24
ICON,GOPENG STREET,02,Non-Landed Properties,1,"3,600",50 to 60,500 to 600,Jul-24
MARGARET VILLE,MARGARET DRIVE,03,Non-Landed Properties,1,"3,500",40 to 50,500 to 600,Jul-24
WEST BAY CONDOMINIUM,WEST COAST CRESCENT,05,Non-Landed Properties,2,"3,400",80 to 90,800 to 900,Jul-24
KENTVIEW PARK,PASIR PANJANG HILL,05,Non-Landed Properties,3,"4,500",110 to 120,"1,200 to 1,300",Jul-24
BLUE HORIZON,WEST COAST CRESCENT,05,Non-Landed Properties,3,"5,300",100 to 110,"1,100 to 1,200",Jul-24
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,2,"4,400",60 to 70,600 to 700,Jul-24
CLAVON,CLEMENTI AVENUE 1,05,Non-Landed Properties,2,"4,300",70 to 80,700 to 800,Jul-24
QUEENS PEAK,DUNDEE ROAD,03,Non-Landed Properties,1,"3,500",40 to 50,400 to 500,Jul-24
THE ESTRELLA,PASIR PANJANG ROAD,05,Non-Landed Properties,3,"4,600",100 to 110,"1,100 to 1,200",Jul-24
VIVA VISTA,SOUTH BUONA VISTA ROAD,05,Non-Landed Properties,1,"3,300",30 to 40,300 to 400,Jul-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,1,"3,400",40 to 50,500 to 600,Jul-24
THE TRILINQ,JALAN LEMPENG,05,Non-Landed Properties,1,"3,600",50 to 60,500 to 600,Jul-24
BANYAN CONDOMINIUM,CHWEE CHIAN ROAD,05,Non-Landed Properties,NA,"5,000",130 to 140,"1,400 to 1,500",Jul-24
PARC RIVIERA,WEST COAST VALE,05,Non-Landed Properties,1,"3,200",40 to 50,400 to 500,Jul-24
VILLAGE @ PASIR PANJANG,PASIR PANJANG ROAD,05,Non-Landed Properties,2,"3,700",70 to 80,800 to 900,Jul-24
CLAVON,CLEMENTI AVENUE 1,05,Non-Landed Properties,2,"4,400",70 to 80,700 to 800,Jul-24
HERITAGE VIEW,DOVER RISE,05,Non-Landed Properties,3,"5,950",110 to 120,"1,100 to 1,200",Jul-24
THE TRILINQ,JALAN LEMPENG,05,Non-Landed Properties,3,"5,400",80 to 90,"900 to 1,000",Jul-24
WHISTLER GRAND,WEST COAST VALE,05,Non-Landed Properties,2,"4,000",50 to 60,600 to 700,Jul-24
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,2,"4,000",60 to 70,600 to 700,Jul-24
PARC RIVIERA,WEST COAST VALE,05,Non-Landed Properties,2,"3,400",50 to 60,600 to 700,Jul-24
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-Landed Properties,1,"3,400",40 to 50,400 to 500,Jul-24
VENTANA,PASIR PANJANG HILL,05,Non-Landed Properties,3,"4,650",120 to 130,"1,300 to 1,400",Jul-24
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,2,"4,100",50 to 60,600 to 700,Jul-24
KENT RIDGE HILL RESIDENCES,SOUTH BUONA VISTA ROAD,05,Non-Landed Properties,2,"4,300",70 to 80,700 to 800,Jul-24
WEST BAY CONDOMINIUM,WEST COAST CRESCENT,05,Non-Landed Properties,3,"5,800",110 to 120,"1,200 to 1,300",Jul-24
THE FORESTA @ MOUNT FABER,WISHART ROAD,04,Non-Landed Properties,2,"4,000",60 to 70,700 to 800,Jul-24
THE FOLIAGE,PASIR PANJANG ROAD,05,Non-Landed Properties,1,"3,400",40 to 50,500 to 600,Jul-24
CLAVON,CLEMENTI AVENUE 1,05,Non-Landed Properties,2,"4,200",60 to 70,600 to 700,Jul-24
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,2,"4,300",60 to 70,600 to 700,Jul-24
THE ESTIVA,PASIR PANJANG ROAD,05,Non-Landed Properties,2,"5,600",90 to 100,"900 to 1,000",Jul-24
SPOTTISWOODE RESIDENCES,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,1,"3,700",50 to 60,600 to 700,Jul-24
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,1,"3,700",40 to 50,500 to 600,Jul-24
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,1,"3,400",40 to 50,400 to 500,Jul-24
ONE-NORTH EDEN,SLIM BARRACKS RISE,05,Non-Landed Properties,2,"5,600",70 to 80,700 to 800,Jul-24
BLUE HORIZON,WEST COAST CRESCENT,05,Non-Landed Properties,3,"5,600",100 to 110,"1,100 to 1,200",Jul-24
WHITEHAVEN,PASIR PANJANG ROAD,05,Non-Landed Properties,4,"6,000",80 to 90,"900 to 1,000",Jul-24
THE ORIENT,PASIR PANJANG ROAD,05,Non-Landed Properties,2,"4,150",50 to 60,500 to 600,Jul-24
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,2,"5,000",70 to 80,700 to 800,Jul-24
PARC RIVIERA,WEST COAST VALE,05,Non-Landed Properties,2,"4,700",60 to 70,700 to 800,Jul-24
SPOTTISWOODE SUITES,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,2,"3,600",50 to 60,500 to 600,Jul-24
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,2,"6,300",80 to 90,800 to 900,Jul-24
WHISTLER GRAND,WEST COAST VALE,05,Non-Landed Properties,2,"3,600",50 to 60,600 to 700,Jul-24
MARGARET VILLE,MARGARET DRIVE,03,Non-Landed Properties,2,"4,100",60 to 70,600 to 700,Jul-24
CARABELLE,WEST COAST WAY,05,Non-Landed Properties,3,"5,400",110 to 120,"1,200 to 1,300",Jul-24
LE HILL CONDOMINIUM,PASIR PANJANG HILL,05,Non-Landed Properties,3,"5,000",110 to 120,"1,200 to 1,300",Jul-24
VILLA DE WEST,PASIR PANJANG ROAD,05,Non-Landed Properties,2,"4,000",90 to 100,"1,000 to 1,100",Jul-24
MONTEREY PARK CONDOMINIUM,WEST COAST RISE,05,Non-Landed Properties,3,"5,700",110 to 120,"1,200 to 1,300",Jul-24
CLAVON,CLEMENTI AVENUE 1,05,Non-Landed Properties,2,"4,000",60 to 70,600 to 700,Jul-24
PARC IMPERIAL,PASIR PANJANG ROAD,05,Non-Landed Properties,NA,"3,150",30 to 40,400 to 500,Jul-24
ROBINSON SUITES,ROBINSON ROAD,01,Non-Landed Properties,2,"3,900",50 to 60,600 to 700,Jul-24
WEST BAY CONDOMINIUM,WEST COAST CRESCENT,05,Non-Landed Properties,3,"6,000",120 to 130,"1,200 to 1,300",Jul-24
PARC RIVIERA,WEST COAST VALE,05,Non-Landed Properties,2,"4,200",60 to 70,700 to 800,Jul-24
WESTCOVE CONDOMINIUM,WEST COAST CRESCENT,05,Non-Landed Properties,2,"3,300",100 to 110,"1,100 to 1,200",Jul-24
PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,03,Non-Landed Properties,2,"4,500",70 to 80,700 to 800,Jul-24
ARTRA,ALEXANDRA VIEW,03,Non-Landed Properties,2,"6,000",70 to 80,800 to 900,Jul-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,2,"4,000",60 to 70,600 to 700,Jul-24
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,2,"4,400",60 to 70,600 to 700,Jul-24
REGENT PARK,JALAN LEMPENG,05,Non-Landed Properties,2,"4,000",70 to 80,800 to 900,Jul-24
THE ROCHESTER RESIDENCES,ROCHESTER DRIVE,05,Non-Landed Properties,1,"4,000",80 to 90,800 to 900,Jul-24
ALEXIS,ALEXANDRA ROAD,03,Non-Landed Properties,1,"3,000",30 to 40,400 to 500,Jul-24
ALEX RESIDENCES,ALEXANDRA VIEW,03,Non-Landed Properties,3,"6,300",90 to 100,"1,000 to 1,100",Jul-24
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,1,"3,400",40 to 50,400 to 500,Jul-24
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,2,"4,600",60 to 70,600 to 700,Jul-24
SKYLINE RESIDENCES,TELOK BLANGAH ROAD,04,Non-Landed Properties,1,"3,500",40 to 50,400 to 500,Jul-24
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,4,"15,000",210 to 220,"2,300 to 2,400",Jul-24
THE COAST AT SENTOSA COVE,OCEAN DRIVE,04,Non-Landed Properties,3,"9,800",180 to 190,"2,000 to 2,100",Jul-24
CENTRAL GREEN CONDOMINIUM,JALAN MEMBINA,03,Non-Landed Properties,3,"6,800",120 to 130,"1,200 to 1,300",Jul-24
CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-Landed Properties,2,"5,000",80 to 90,800 to 900,Jul-24
TWIN VEW,WEST COAST VALE,05,Non-Landed Properties,3,"6,200",100 to 110,"1,100 to 1,200",Jul-24
ALEXIS,ALEXANDRA ROAD,03,Non-Landed Properties,2,"4,000",60 to 70,700 to 800,Jul-24
CLAVON,CLEMENTI AVENUE 1,05,Non-Landed Properties,2,"4,300",60 to 70,600 to 700,Jul-24
CARABELLE,WEST COAST WAY,05,Non-Landed Properties,2,"3,800",80 to 90,800 to 900,Jul-24
DOVER PARKVIEW,DOVER RISE,05,Non-Landed Properties,2,"4,300",80 to 90,"900 to 1,000",Jul-24
HUNDRED TREES,WEST COAST DRIVE,05,Non-Landed Properties,2,"4,200",80 to 90,"900 to 1,000",Jul-24
ECHELON,ALEXANDRA VIEW,03,Non-Landed Properties,1,"3,600",40 to 50,400 to 500,Jul-24
THE MAYLEA,PASIR PANJANG ROAD,05,Non-Landed Properties,3,"5,200",110 to 120,"1,200 to 1,300",Jul-24
DOVER PARKVIEW,DOVER RISE,05,Non-Landed Properties,2,"4,150",90 to 100,"900 to 1,000",Jul-24
WHISTLER GRAND,WEST COAST VALE,05,Non-Landed Properties,1,"3,500",40 to 50,500 to 600,Jul-24
LIIV RESIDENCES,PASIR PANJANG ROAD,05,Non-Landed Properties,NA,"3,000",30 to 40,300 to 400,Jul-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,2,"4,000",60 to 70,600 to 700,Jul-24
KENT RIDGE HILL RESIDENCES,SOUTH BUONA VISTA ROAD,05,Non-Landed Properties,2,"4,600",70 to 80,700 to 800,Jul-24
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,2,"7,050",100 to 110,"1,100 to 1,200",Jul-24
QUEENS,STIRLING ROAD,03,Non-Landed Properties,3,"6,000",110 to 120,"1,100 to 1,200",Jul-24
THE PARC CONDOMINIUM,WEST COAST WALK,05,Non-Landed Properties,3,"5,100",120 to 130,"1,200 to 1,300",Jul-24
DOVER PARKVIEW,DOVER RISE,05,Non-Landed Properties,2,"4,000",90 to 100,"900 to 1,000",Jul-24
THE ROCHESTER RESIDENCES,ROCHESTER DRIVE,05,Non-Landed Properties,2,"6,300",110 to 120,"1,200 to 1,300",Jul-24
WHISTLER GRAND,WEST COAST VALE,05,Non-Landed Properties,2,"4,300",70 to 80,700 to 800,Jul-24
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,1,"3,400",40 to 50,500 to 600,Jul-24
WHITEHAVEN,PASIR PANJANG ROAD,05,Non-Landed Properties,4,"6,200",80 to 90,"900 to 1,000",Jul-24
THE BERTH BY THE COVE,OCEAN DRIVE,04,Non-Landed Properties,3,"7,500",150 to 160,"1,600 to 1,700",Jul-24
CARABELLE,WEST COAST WAY,05,Non-Landed Properties,3,"4,500",100 to 110,"1,100 to 1,200",Jul-24
PARC RIVIERA,WEST COAST VALE,05,Non-Landed Properties,2,"3,900",60 to 70,600 to 700,Jul-24
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,2,"5,300",70 to 80,700 to 800,Jul-24
RIVER PLACE,HAVELOCK ROAD,03,Non-Landed Properties,2,"5,000",90 to 100,"1,000 to 1,100",Jul-24
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,2,"4,400",50 to 60,600 to 700,Jul-24
CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-Landed Properties,3,"7,500",120 to 130,"1,300 to 1,400",Jul-24
WHISTLER GRAND,WEST COAST VALE,05,Non-Landed Properties,2,"4,000",50 to 60,600 to 700,Jul-24
SKYSUITES@ANSON,ENGGOR STREET,02,Non-Landed Properties,NA,"3,400",30 to 40,300 to 400,Jul-24
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,2,"4,300",60 to 70,600 to 700,Jul-24
THE INTERLACE,DEPOT ROAD,04,Non-Landed Properties,3,"7,200",110 to 120,"1,200 to 1,300",Jul-24
SEAHILL,WEST COAST CRESCENT,05,Non-Landed Properties,NA,"3,500",60 to 70,600 to 700,Jul-24
THE ROCHESTER RESIDENCES,ROCHESTER DRIVE,05,Non-Landed Properties,1,"4,200",90 to 100,"1,000 to 1,100",Jul-24
CENTRAL GREEN CONDOMINIUM,JALAN MEMBINA,03,Non-Landed Properties,1,"3,900",70 to 80,700 to 800,Jul-24
TWIN VEW,WEST COAST VALE,05,Non-Landed Properties,3,"5,400",80 to 90,"900 to 1,000",Jul-24
SKYSUITES@ANSON,ENGGOR STREET,02,Non-Landed Properties,2,"5,500",60 to 70,600 to 700,Jul-24
PARC IMPERIAL,PASIR PANJANG ROAD,05,Non-Landed Properties,NA,"2,600",30 to 40,300 to 400,Jul-24
BOTANNIA,WEST COAST PARK,05,Non-Landed Properties,3,"5,400",110 to 120,"1,200 to 1,300",Jul-24
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-Landed Properties,2,"4,600",70 to 80,700 to 800,Jul-24
ONE SHENTON,SHENTON WAY,01,Non-Landed Properties,2,"7,000",100 to 110,"1,100 to 1,200",Jul-24
BLUE HORIZON,WEST COAST CRESCENT,05,Non-Landed Properties,2,"4,500",90 to 100,"900 to 1,000",Jul-24
ICON,GOPENG STREET,02,Non-Landed Properties,1,"4,000",60 to 70,600 to 700,Jul-24
SPOTTISWOODE SUITES,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,2,"4,300",60 to 70,600 to 700,Jul-24
KAI FOOK MANSION,KIM TIAN ROAD,03,Non-Landed Properties,2,"4,000",80 to 90,"900 to 1,000",Jul-24
TIONG BAHRU ESTATE,TIONG POH ROAD,03,Non-Landed Properties,NA,"5,300",90 to 100,"900 to 1,000",Jul-24
THE TRILINQ,JALAN LEMPENG,05,Non-Landed Properties,3,"5,600",80 to 90,"900 to 1,000",Jul-24
WHISTLER GRAND,WEST COAST VALE,05,Non-Landed Properties,2,"4,200",70 to 80,700 to 800,Jul-24
PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,03,Non-Landed Properties,1,"3,500",40 to 50,400 to 500,Jul-24
HIGHLINE RESIDENCES,KIM TIAN ROAD,03,Non-Landed Properties,1,"4,000",40 to 50,500 to 600,Jul-24
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,1,"3,500",40 to 50,400 to 500,Jul-24
PARC RIVIERA,WEST COAST VALE,05,Non-Landed Properties,4,"7,500",110 to 120,"1,100 to 1,200",Jul-24
ECHELON,ALEXANDRA VIEW,03,Non-Landed Properties,2,"5,000",60 to 70,700 to 800,Jul-24
MARINA BAY RESIDENCES,MARINA BOULEVARD,01,Non-Landed Properties,1,"5,700",60 to 70,700 to 800,Jul-24
ALEXIS,ALEXANDRA ROAD,03,Non-Landed Properties,2,"3,700",60 to 70,600 to 700,Jul-24
THE INFINITI,WEST COAST PARK,05,Non-Landed Properties,3,"5,300",110 to 120,"1,200 to 1,300",Jul-24
BOTANNIA,WEST COAST PARK,05,Non-Landed Properties,3,"6,000",110 to 120,"1,200 to 1,300",Jul-24
WHISTLER GRAND,WEST COAST VALE,05,Non-Landed Properties,2,"4,400",70 to 80,700 to 800,Jul-24
WHISTLER GRAND,WEST COAST VALE,05,Non-Landed Properties,2,"4,000",50 to 60,600 to 700,Jul-24
KENT RIDGE HILL RESIDENCES,SOUTH BUONA VISTA ROAD,05,Non-Landed Properties,1,"3,500",40 to 50,500 to 600,Jul-24
WHITEHAVEN,PASIR PANJANG ROAD,05,Non-Landed Properties,2,"3,700",50 to 60,500 to 600,Jul-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,1,"3,600",40 to 50,500 to 600,Jul-24
MARGARET VILLE,MARGARET DRIVE,03,Non-Landed Properties,1,"3,700",40 to 50,500 to 600,Jul-24
VILLA DE WEST,PASIR PANJANG ROAD,05,Non-Landed Properties,3,"5,200",150 to 160,"1,600 to 1,700",Jul-24
TWIN VEW,WEST COAST VALE,05,Non-Landed Properties,1,"3,300",40 to 50,400 to 500,Jul-24
TWIN VEW,WEST COAST VALE,05,Non-Landed Properties,1,"3,300",50 to 60,500 to 600,Jul-24
THE CLEMENT CANOPY,CLEMENTI AVENUE 1,05,Non-Landed Properties,2,"3,900",60 to 70,600 to 700,Jul-24
THE REGENCY AT TIONG BAHRU,CHAY YAN STREET,03,Non-Landed Properties,2,"5,300",80 to 90,"900 to 1,000",Jul-24
V ON SHENTON,SHENTON WAY,01,Non-Landed Properties,1,"4,750",60 to 70,600 to 700,Jul-24
ALEXIS,ALEXANDRA ROAD,03,Non-Landed Properties,2,"5,100",80 to 90,"900 to 1,000",Jul-24
MONTEREY PARK CONDOMINIUM,WEST COAST RISE,05,Non-Landed Properties,2,"4,000",90 to 100,"1,000 to 1,100",Jul-24
SEASUITES,PASIR PANJANG ROAD,05,Non-Landed Properties,2,"4,150",90 to 100,"900 to 1,000",Jul-24
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,2,"5,800",80 to 90,800 to 900,Jul-24
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,4,"18,800",300 to 310,"3,200 to 3,300",Jul-24
BLUE HORIZON,WEST COAST CRESCENT,05,Non-Landed Properties,3,"7,300",110 to 120,"1,200 to 1,300",Jul-24
WHISTLER GRAND,WEST COAST VALE,05,Non-Landed Properties,2,"5,900",70 to 80,800 to 900,Jul-24
WESTCOVE CONDOMINIUM,WEST COAST CRESCENT,05,Non-Landed Properties,2,"4,400",100 to 110,"1,000 to 1,100",Jul-24
THE CLIFT,MCCALLUM STREET,01,Non-Landed Properties,1,"4,000",40 to 50,500 to 600,Jul-24
THE TRILINQ,JALAN LEMPENG,05,Non-Landed Properties,2,"3,600",60 to 70,700 to 800,Jul-24
LANDRIDGE CONDOMINIUM,PASIR PANJANG ROAD,05,Non-Landed Properties,3,"4,500",180 to 190,"1,900 to 2,000",Jul-24
THE FORESTA @ MOUNT FABER,WISHART ROAD,04,Non-Landed Properties,2,"3,800",60 to 70,700 to 800,Jul-24
NON-LANDED HOUSING DEVELOPMENT,SLIM BARRACKS RISE,05,Non-Landed Properties,4,"10,400",130 to 140,"1,400 to 1,500",Jul-24
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,1,"4,500",60 to 70,600 to 700,Jul-24
WHISTLER GRAND,WEST COAST VALE,05,Non-Landed Properties,2,"4,100",50 to 60,600 to 700,Jul-24
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,2,"5,800",100 to 110,"1,100 to 1,200",Jul-24
CLEMENTIWOODS CONDOMINIUM,WEST COAST ROAD,05,Non-Landed Properties,2,"4,800",90 to 100,"1,000 to 1,100",Jul-24
MARINA BAY RESIDENCES,MARINA BOULEVARD,01,Non-Landed Properties,2,"8,400",90 to 100,"1,000 to 1,100",Jul-24
KENT RIDGE HILL RESIDENCES,SOUTH BUONA VISTA ROAD,05,Non-Landed Properties,2,"4,200",60 to 70,600 to 700,Jul-24
HIGHLINE RESIDENCES,KIM TIAN ROAD,03,Non-Landed Properties,2,"5,400",50 to 60,600 to 700,Jul-24
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,2,"5,300",80 to 90,800 to 900,Jul-24
THE ANCHORAGE,ALEXANDRA ROAD,03,Non-Landed Properties,2,"4,525",100 to 110,"1,100 to 1,200",Jul-24
WESTCOVE CONDOMINIUM,WEST COAST CRESCENT,05,Non-Landed Properties,2,"6,200",100 to 110,"1,000 to 1,100",Jul-24
QUEENS PEAK,DUNDEE ROAD,03,Non-Landed Properties,2,"5,800",70 to 80,800 to 900,Jul-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,2,"4,000",60 to 70,600 to 700,Jul-24
HERITAGE VIEW,DOVER RISE,05,Non-Landed Properties,3,"5,400",110 to 120,"1,200 to 1,300",Jul-24
PARC CLEMATIS,JALAN LEMPENG,05,Non-Landed Properties,1,"3,500",40 to 50,500 to 600,Jul-24
WEST BAY CONDOMINIUM,WEST COAST CRESCENT,05,Non-Landed Properties,2,"3,800",80 to 90,"900 to 1,000",Jul-24
LANDRIDGE CONDOMINIUM,PASIR PANJANG ROAD,05,Non-Landed Properties,3,"7,000",170 to 180,"1,800 to 1,900",Jul-24
THE CREST,PRINCE CHARLES CRESCENT,03,Non-Landed Properties,3,"6,500",110 to 120,"1,100 to 1,200",Jul-24
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,1,"5,350",70 to 80,700 to 800,Jul-24
BLUE HORIZON,WEST COAST CRESCENT,05,Non-Landed Properties,3,"6,430",100 to 110,"1,100 to 1,200",Jul-24
SPOTTISWOODE PARK,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,NA,"4,200",110 to 120,"1,200 to 1,300",Jul-24
AVENUE SOUTH RESIDENCE,SILAT AVENUE,03,Non-Landed Properties,1,"3,500",40 to 50,500 to 600,Jul-24
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,2,"5,200",70 to 80,700 to 800,Jul-24
BLUE HORIZON,WEST COAST CRESCENT,05,Non-Landed Properties,3,"4,800",100 to 110,"1,100 to 1,200",Jul-24
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,2,"7,300",100 to 110,"1,100 to 1,200",Jul-24
SPOTTISWOODE RESIDENCES,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,2,"4,900",70 to 80,700 to 800,Jul-24
SPOTTISWOODE RESIDENCES,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,2,"5,000",80 to 90,"900 to 1,000",Jul-24
PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,03,Non-Landed Properties,2,"4,000",80 to 90,800 to 900,Jul-24
HIGHLINE RESIDENCES,KIM TIAN ROAD,03,Non-Landed Properties,3,"7,600",100 to 110,"1,100 to 1,200",Jul-24
THE ROCHESTER RESIDENCES,ROCHESTER DRIVE,05,Non-Landed Properties,1,"4,200",80 to 90,800 to 900,Jul-24
ROYAL PALM MANSIONS,PASIR PANJANG ROAD,05,Non-Landed Properties,3,"5,650",110 to 120,"1,200 to 1,300",Jul-24
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,3,"7,800",120 to 130,"1,300 to 1,400",Jul-24
